index,Hour,TargetUserName,IpAddress,distinct_service_requests,total_requests,weak_encryption_requests,distinct_ips,weak_encryption_flag
0,2024-03-19 23:00:00,azradmin@cseclab.test,::ffff:10.0.0.5,1,2,2,2,1
1,2024-03-19 23:00:00,azradmin@cseclab.test,::ffff:10.0.0.6,1,2,2,2,1
2,2024-03-19 23:00:00,dc$@cseclab.test,::1,1,1,1,1,1
3,2024-03-19 23:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,3,3,1,1
4,2024-03-19 23:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,3,3,1,1
5,2024-03-20 19:00:00,azradmin@cseclab.test,::1,1,2,2,2,1
6,2024-03-20 19:00:00,azradmin@cseclab.test,::ffff:10.0.0.5,1,1,1,2,1
7,2024-03-20 19:00:00,dc$@cseclab.test,::1,1,1,1,1,1
8,2024-03-20 19:00:00,john.smith@cseclab.test,::ffff:10.0.0.5,1,1,1,1,1
9,2024-03-20 19:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,2,2,1,1
10,2024-03-20 20:00:00,dc$@cseclab.test,::1,1,1,1,1,1
11,2024-03-20 21:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,1,1,0,1,0
12,2024-03-20 22:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,1,1,0,1,0
13,2024-03-20 23:00:00,john.smith@cseclab.test,::ffff:10.0.0.5,1,1,1,2,1
14,2024-03-20 23:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,1,1,0,2,0
15,2024-03-21 19:00:00,dc$@cseclab.test,::1,1,1,1,1,1
16,2024-03-21 20:00:00,azradmin@cseclab.test,::1,1,3,3,2,1
17,2024-03-21 20:00:00,azradmin@cseclab.test,::ffff:10.0.0.5,1,1,1,2,1
18,2024-03-21 20:00:00,dc$@cseclab.test,::1,1,1,1,1,1
19,2024-03-21 20:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,1,2,0,1,0
20,2024-03-21 20:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,2,2,1,1
21,2024-03-21 21:00:00,azradmin@cseclab.test,::1,1,2,2,1,1
22,2024-03-21 21:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,1,7,0,1,0
23,2024-03-22 23:00:00,dc$@cseclab.test,::1,1,1,1,1,1
24,2024-03-23 00:00:00,dc$@cseclab.test,::1,1,1,1,1,1
25,2024-03-23 20:00:00,dc$@cseclab.test,::1,1,1,1,1,1
26,2024-03-23 21:00:00,dc$@cseclab.test,::1,1,1,1,1,1
27,2024-03-24 22:00:00,dc$@cseclab.test,::1,1,1,1,1,1
28,2024-03-24 23:00:00,dc$@cseclab.test,::1,1,1,1,1,1
29,2024-03-26 21:00:00,azradmin@cseclab.test,::1,1,3,3,1,1
30,2024-03-26 21:00:00,dc$@cseclab.test,::1,1,1,1,1,1
31,2024-03-26 21:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,2,4,0,1,0
32,2024-03-26 21:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,2,2,1,1
33,2024-03-26 22:00:00,azradmin@cseclab.test,::ffff:10.0.0.5,1,1,1,1,1
34,2024-03-26 22:00:00,dc$@cseclab.test,::1,1,1,1,1,1
35,2024-03-26 22:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,2,2,0,1,0
36,2024-03-27 19:00:00,dc$@cseclab.test,::1,1,1,1,1,1
37,2024-03-27 19:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,2,2,1,1
38,2024-03-27 20:00:00,dc$@cseclab.test,::1,1,1,1,1,1
39,2024-03-27 20:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,2,2,1,1
40,2024-03-27 21:00:00,dc$@cseclab.test,::1,1,1,1,1,1
41,2024-03-27 22:00:00,dc$@cseclab.test,::1,1,1,1,1,1
42,2024-03-28 20:00:00,dc$@cseclab.test,::1,1,1,1,1,1
43,2024-03-28 20:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,1,1,1,1
44,2024-03-28 21:00:00,dc$@cseclab.test,::1,1,1,1,1,1
45,2024-03-28 21:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,1,1,1,1
46,2024-03-29 18:00:00,dc$@cseclab.test,::1,1,1,1,1,1
47,2024-03-29 19:00:00,dc$@cseclab.test,::1,1,1,1,1,1
48,2024-03-29 20:00:00,dc$@cseclab.test,::1,1,1,1,1,1
49,2024-03-29 21:00:00,dc$@cseclab.test,::1,1,1,1,1,1
50,2024-03-30 05:00:00,dc$@cseclab.test,::1,1,1,1,1,1
51,2024-03-30 14:00:00,azradmin@cseclab.test,::ffff:10.0.0.5,1,1,1,1,1
52,2024-03-30 14:00:00,john.smith@cseclab.test,::ffff:10.0.0.5,1,1,1,2,1
53,2024-03-30 14:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,2,4,0,2,0
54,2024-03-30 14:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,4,4,1,1
55,2024-03-30 15:00:00,dc$@cseclab.test,::1,1,1,1,1,1
56,2024-03-30 21:00:00,dc$@cseclab.test,::1,1,1,1,1,1
57,2024-03-31 00:00:00,dc$@cseclab.test,::1,1,1,1,1,1
58,2024-03-31 00:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,2,2,1,1
59,2024-03-31 09:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,1,1,1,1
60,2024-03-31 10:00:00,dc$@cseclab.test,::1,1,1,1,1,1
61,2024-03-31 10:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,1,1,1,1
62,2024-03-31 19:00:00,dc$@cseclab.test,::1,1,1,1,1,1
63,2024-03-31 19:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,2,2,1,1
64,2024-03-31 21:00:00,dc$@cseclab.test,::1,1,1,1,1,1
65,2024-04-01 03:00:00,john.smith@cseclab.test,::ffff:10.0.0.5,1,1,1,1,1
66,2024-04-01 03:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,2,2,1,1
67,2024-04-01 05:00:00,dc$@cseclab.test,::1,1,1,1,1,1
68,2024-04-01 12:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,2,2,1,1
69,2024-04-01 14:00:00,dc$@cseclab.test,::1,1,1,1,1,1
70,2024-04-01 20:00:00,azradmin@cseclab.test,::1,1,7,7,1,1
71,2024-04-01 21:00:00,dc$@cseclab.test,::1,1,1,1,1,1
72,2024-04-01 21:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,8,8,0,1,0
73,2024-04-01 22:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,2,2,1,1
74,2024-04-02 00:00:00,dc$@cseclab.test,::1,1,1,1,1,1
75,2024-04-02 03:00:00,azradmin@cseclab.test,::ffff:10.0.0.5,1,1,1,1,1
76,2024-04-02 03:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,2,2,1,1
77,2024-04-02 09:00:00,dc$@cseclab.test,::1,1,1,1,1,1
78,2024-04-02 12:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,1,1,1,1
79,2024-04-02 13:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,1,1,1,1
80,2024-04-02 19:00:00,dc$@cseclab.test,::1,1,1,1,1,1
81,2024-04-02 21:00:00,dc$@cseclab.test,::1,1,1,1,1,1
82,2024-04-02 22:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,1,1,1,1
83,2024-04-03 04:00:00,dc$@cseclab.test,::1,1,1,1,1,1
84,2024-04-03 14:00:00,dc$@cseclab.test,::1,1,1,1,1,1
85,2024-04-03 17:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,2,2,1,1
86,2024-04-03 21:00:00,dc$@cseclab.test,::1,1,1,1,1,1
87,2024-04-03 22:00:00,azradmin@cseclab.test,::ffff:10.0.0.6,1,1,1,1,1
88,2024-04-03 22:00:00,dhcp_svc@cseclab.test,::ffff:10.0.0.6,1,1,1,1,1
89,2024-04-03 22:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,1,1,0,1,0
